2024-07-31 11:24:51,279 | trainer | INFO  |  train.py:58  |  loading pretrain weight
2024-07-31 11:24:51,881 | trainer | INFO  |  train.py:137  |  Traning Epoch:1/100 Current Batch: 0/16 Total Loss:0.1992 ACC:0.50 lr:0.00100000 
2024-07-31 11:24:51,882 | trainer | INFO  |  train.py:149  |  class0 acc0.50 recall:1.00 
2024-07-31 11:24:51,882 | trainer | INFO  |  train.py:149  |  class1 acc0.00 recall:0.00 
2024-07-31 11:24:51,934 | trainer | INFO  |  train.py:137  |  Traning Epoch:1/100 Current Batch: 1/16 Total Loss:0.2301 ACC:0.25 lr:0.00100000 
2024-07-31 11:24:51,935 | trainer | INFO  |  train.py:149  |  class0 acc0.25 recall:1.00 
2024-07-31 11:24:51,935 | trainer | INFO  |  train.py:149  |  class1 acc0.00 recall:0.00 
2024-07-31 11:24:52,311 | trainer | INFO  |  train.py:137  |  Traning Epoch:1/100 Current Batch: 2/16 Total Loss:0.2266 ACC:0.33 lr:0.00100000 
2024-07-31 11:24:52,311 | trainer | INFO  |  train.py:149  |  class0 acc0.33 recall:1.00 
2024-07-31 11:24:52,311 | trainer | INFO  |  train.py:149  |  class1 acc0.00 recall:0.00 
2024-07-31 11:24:52,670 | trainer | INFO  |  train.py:137  |  Traning Epoch:1/100 Current Batch: 3/16 Total Loss:0.1983 ACC:0.50 lr:0.00100000 
2024-07-31 11:24:52,670 | trainer | INFO  |  train.py:149  |  class0 acc0.50 recall:1.00 
2024-07-31 11:24:52,670 | trainer | INFO  |  train.py:149  |  class1 acc0.00 recall:0.00 
2024-07-31 11:24:53,053 | trainer | INFO  |  train.py:137  |  Traning Epoch:1/100 Current Batch: 4/16 Total Loss:0.1846 ACC:0.60 lr:0.00100000 
2024-07-31 11:24:53,053 | trainer | INFO  |  train.py:149  |  class0 acc0.60 recall:1.00 
2024-07-31 11:24:53,053 | trainer | INFO  |  train.py:149  |  class1 acc0.00 recall:0.00 
2024-07-31 11:24:53,358 | trainer | INFO  |  train.py:137  |  Traning Epoch:1/100 Current Batch: 5/16 Total Loss:0.1946 ACC:0.50 lr:0.00100000 
2024-07-31 11:24:53,358 | trainer | INFO  |  train.py:149  |  class0 acc0.50 recall:1.00 
2024-07-31 11:24:53,358 | trainer | INFO  |  train.py:149  |  class1 acc0.00 recall:0.00 
2024-07-31 11:24:53,711 | trainer | INFO  |  train.py:137  |  Traning Epoch:1/100 Current Batch: 6/16 Total Loss:0.1834 ACC:0.57 lr:0.00100000 
2024-07-31 11:24:53,711 | trainer | INFO  |  train.py:149  |  class0 acc0.57 recall:1.00 
